Name,Biermarke,Long,Lat
Augustiner-Keller,Augustiner,11.551223,48.14374
Aujäger,Hacker Pschorr,11.44961,47.919287
Alte Villa,Kaltenberger,11.098123,48.026349
Alter Wirt Krailling,Augustiner,11.417515,48.098479
Alter Wirt Etterschlag,Paulaner,11.200658,48.086221
Alter Wirt Moosach,Hofbräu,11.51235,48.180948
Alter Wirt Ramersdorf,Augustiner,11.614319,48.114996
Ayinger Ottobrunn,Ayinger,11.6647398,48.0651976
Bergl,Hacker Pschorr,11.567563,48.260538
Biergarten Mühlenpark,Hacker Pschorr,11.661279,48.246215
Biergarten zur Mühle,Hacker Pschorr,11.674502,48.226392
Bootshaus,Hacker Pschorr,11.547199,48.098697
Brauhaus Bruck,Kaltenberger,11.25235,48.182792
Bruckenfischer,Löwenbräu,11.476496,47.972248
Brückerl,Tegernseer,11.421892,48.191468
Bräustüberl Weihenstephan,Weihenstephaner,11.728522,48.395808
Bürgerstuben Puchheim,Paulaner,11.353611,48.179977
Chinesischer Turm,Hofbräu,11.591982,48.152516
Zur Geyerwally,Hofbräu,11.537098,48.162006
Dampfschiff,Augustiner,11.156262,48.123301
Weyprechthof,Paulaner,11.57216,48.205465
Einkehr zur Schwaige,Spaten,11.482969,48.095186
Emminger Hof,Andechser,11.041764,48.09662
Erdinger Weißbiergarten,Augustiner,11.478648,48.112872
Fasanerie,Hofbräu,11.493174,48.173112
Fischer,Augustiner,11.131999,48.077176
Forsthaus Kasten,Paulaner,11.416925,48.075197
Forsthaus St. Hubertus,Schweiger,11.932274,48.10785
Franziskaner Garten,Spaten,11.670426,48.109134
Freihamer Wirtshaus,Löwenbräu,11.402649,48.137003
Fürstenfelder,Paulaner,11.24772,48.170329
Gasthaus Franz Inselkammer,Ayinger,11.72864,48.021387
Gasthof Feringasee,Spaten,11.674363,48.19219
Gasthaus zur Mühle,Fischer,11.485318,47.997216
Gasthof Grub,Hofbräu,11.782547,48.165091
Gaststätte Heimstettener See,Ayinger,11.73755,48.158156
Grünwalder Forstwirt,Tegernseer,11.522459,48.011663
Gut Kaltenbrunn,Hacker Pschorr,11.722161,47.744881
Gut Keferloh,Augustiner,11.727337,48.09581
Gutshof Menterschwaige,Löwenbräu,11.545402,48.081968
Harlachinger Einkehr,Augustiner,11.55744,48.095742
Heide-Volm,Hacker Pschorr,11.414934,48.105268
Hinterbrühl,Hacker Pschorr,11.540277,48.0858
Hirschau,Löwenbräu,11.602732,48.162171
Hirschgarten,Augustiner,11.511156,48.149449
Hofbräukeller,Hofbräu,11.594868,48.134574
Hofbrauhaus-Keller Freising,Hofbrauhaus Urhell,11.748102,48.406503
Hohenlindener Sauschütt,Wildbräu,11.971949,48.138134
Hopfengarten,Löwenbräu,11.526713,48.125736
Insel Mühle,Augustiner,11.461667,48.17624
Klosterbräu Schäftlarn,Löwenbräu,11.466422,47.978119
Kloster Andechs Biergarten,Andechser,11.183766,47.973925
Kraillinger Brauerei,Herrnbräu,11.412284,48.097014
Kugler Alm,Spaten,11.575255,48.035971
Laimers,Löwenbräu,11.492477,48.141148
Landgasthof Alter Wirt,Augustiner,11.567681,48.277395
Landgasthof Langwied,Löwenbräu,11.423772,48.181327
Langwieder See,König Ludwig,11.414398,48.19741
Leiberheim,Erhartinger,11.672225,48.078912
Ayinger Bräustüberl,Ayinger,11.779903,47.970775
Lindengarten,Löwenbräu,11.678453,48.115014
Lochhamers,Tegernseer,11.446053,48.125209
Löwenbräukeller,Löwenbräu,11.55795,48.147989
Maisinger Seehof,Andechser,11.282718,47.981538
Max Emanuel Brauerei,Löwenbräu,11.576162,48.152678
Maxhof,Spaten,11.478733,48.086314
Michaeli-Garten,Löwenbräu,11.637676,48.114973
Muffatwerk,Hofbräu,11.588961,48.132957
Augustiner Schützengarten,Augustiner,11.534936,48.104616
Olympia-Alm,Ayinger,11.554313,48.171137
Park-Café,Hofbräu,11.564409,48.142072
Paulaner Bräuhaus,Paulaner,11.559463,48.12619
Paulaner am Nockherberg,Paulaner,11.582814,48.121276
Pe. Es. Kottmeier,Ayinger,11.423142,48.105608
Plantage!,Weihenstephaner,11.727417,48.416495
Postgarten,Augustiner,11.177237,47.997995
Prinzregent Garten,Kaltenberger,11.468756,48.140645
Rosengarten,Paulaner,11.509061,48.122191
Räuber-Kneißl-Garten,Maisacher,11.263205,48.216443
Schiaßn,Fischer,11.909998,48.313764
Schießstätte Allach,König Ludwig,11.456187,48.19579
Schlossallee Haag,Hofbrauhaus Freising,11.832436,48.45806
Schlossgaststätte Leutstetten,Kaltenberger,11.368586,48.029693
Schlosswirtschaft Mariabrunn,Fischer,11.478133,48.311896
See-Biergarten Lerchenau,Spaten,11.5359857,48.1984914
Seehof Herrsching,Hofbräu,11.168783,47.995267
Schloßwirtschaft Oberschleißheim,Hofbräu,11.55883,48.24804
Schusterhäusl,Schweiger,11.326124,48.128103
Paulaner Seegarten,Paulaner,11.470648,48.236149
